"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.955587758E1,-2.132764893E0,-9.206155701E0,4.724475403E0
9.056019762E1,-1.611997833E0,-7.382797394E0,-7.915240173E0
9.156452100E1,-7.558382263E0,-7.179071045E0,-4.219425659E0
9.256884487E1,-2.591560822E0,-1.627266083E1,-4.712051239E0
9.357317008E1,-3.353177032E0,-1.789633438E1,-5.591472473E0
9.457749412E1,-3.638932800E0,-5.292693787E0,-1.234931946E-1
9.558181771E1,-1.472937012E0,-1.623224487E0,5.942642212E-2
9.658614158E1,-1.212778015E0,-1.062340851E0,-8.689430237E-1
9.759046733E1,-1.418600006E0,-5.407804413E0,2.256707153E0
9.859479146E1,7.017407227E-1,-1.214274902E1,-4.678221588E0
9.960288208E1,-8.668324127E0,-1.410666504E1,2.127974854E0
1.006072066E2,3.107537842E-1,-1.288355850E1,-1.018182678E0
1.016027442E2,1.231788483E0,-1.067520081E1,1.481918335E0
1.026309219E2,-2.418969727E-1,-9.413624268E0,8.017327881E-1
1.036352485E2,-3.423381042E-1,-9.513316956E0,3.203338623E-1
1.046395783E2,1.961520996E0,-1.019679565E1,-3.717519379E0
1.056439082E2,4.750221863E0,-9.438322906E0,4.744683380E0
1.066482371E2,-4.150419159E0,-2.462379456E0,8.566685486E-1
1.076525681E2,6.905140686E0,-1.114222961E1,-2.953807526E0
1.086568986E2,-8.224197693E0,-1.666709061E1,-4.706512756E0
1.096612286E2,-6.855743408E-1,-5.593119049E0,8.959468689E0
1.106919255E2,3.101550293E-1,3.788621521E-1,9.886940002E0
1.116962583E2,2.885998535E-1,3.926335144E-1,9.762548676E0
1.127005902E2,3.372486877E-1,3.347039795E-1,9.800719299E0
1.137049217E2,3.543132019E-1,3.379971313E-1,9.816436615E0
1.147092537E2,2.617456970E0,6.470294952E0,7.027586060E0
1.157135862E2,6.423143005E-1,7.589966583E0,6.288572845E0
1.167179175E2,6.779402161E-1,6.869365082E0,7.487280121E0
1.177222499E2,1.112486572E0,7.564818878E0,6.000422058E0
1.187265821E2,1.304686890E0,7.523055725E0,6.237828369E0
1.197309131E2,1.927990723E0,7.370822296E0,6.394103394E0
1.207352448E2,2.075134735E0,7.909552002E0,5.654790802E0
1.217395772E2,8.499325562E-1,7.037166138E0,6.252348175E0
1.227439080E2,3.263214111E-1,7.416028290E0,6.230493622E0
1.237482395E2,4.905299377E-1,7.509733429E0,6.307283936E0
